Yang,M200c,R200c,M200m,R200m
0,15.138044357299805,2269.838134765625,15.26395034790039,3474.42578125
1,15.05978012084961,2137.57958984375,15.192752838134766,3289.575439453125
2,14.993892669677734,2032.17626953125,15.104423522949219,3073.919677734375
3,14.826947212219238,1787.660400390625,15.00108814239502,2839.5458984375
4,14.61711311340332,1521.7880859375,14.750040054321289,2341.92822265625
5,14.865218162536621,1841.031494140625,15.012251853942871,2864.049072265625
6,14.616884231567383,1521.52392578125,14.728866577148438,2304.208984375
7,14.76594066619873,1705.9473876953125,14.914375305175781,2656.730224609375
8,14.768656730651855,1709.50390625,14.904153823852539,2636.046142578125
9,14.709993362426758,1634.241455078125,14.86382007598877,2555.649169921875
10,14.582500457763672,1481.887451171875,14.745939254760742,2334.560302734375
11,14.491498947143555,1381.941162109375,14.649593353271484,2168.1513671875
12,14.727764129638672,1656.64013671875,14.840885162353516,2511.102783203125
13,14.48904037475586,1379.3173828125,14.792770385742188,2420.03955078125
14,14.677703857421875,1594.2801513671875,14.801654815673828,2436.582763671875
15,14.636712074279785,1544.8468017578125,14.76278305053711,2364.9033203125
16,14.313264846801758,1205.218017578125,14.550972938537598,2010.0809326171875
17,14.703126907348633,1625.651611328125,14.786453247070312,2408.279052734375
18,14.691311836242676,1610.954345703125,14.780416488647461,2397.1337890625
19,14.681379318237305,1598.76416015625,14.748611450195312,2339.315185546875
20,14.64859390258789,1559.057373046875,14.745269775390625,2333.41845703125
21,14.581016540527344,1480.2001953125,14.686019897460938,2229.63134765625
22,14.658805847167969,1571.2529296875,14.75325870513916,2347.75927734375
23,14.570680618286133,1468.487060546875,14.660669326782227,2186.669921875
24,14.598884582519531,1500.6201171875,14.710728645324707,2272.320556640625
25,14.624273300170898,1530.1607666015625,14.721675872802734,2291.46044921875
26,14.634434700012207,1542.2044677734375,14.700756072998047,2255.027099609375
27,14.546365737915039,1441.39453125,14.705119132995605,2262.583984375
28,14.475996017456055,1365.5924072265625,14.628037452697754,2132.586669921875
29,14.372081756591797,1260.89208984375,14.608720779418945,2101.226806640625
30,14.614209175109863,1518.39111328125,14.711345672607422,2273.342529296875
31,14.472877502441406,1362.315673828125,14.671720504760742,2205.33642578125
32,14.266189575195312,1162.454345703125,14.533928871154785,1983.940673828125
33,14.325202941894531,1216.319580078125,14.44253921508789,1849.6202392578125
34,14.589326858520508,1489.6729736328125,14.670073509216309,2202.516357421875
35,14.478498458862305,1368.1654052734375,14.629825592041016,2135.46435546875
36,14.133248329162598,1049.6978759765625,14.298921585083008,1656.549072265625
37,14.554962158203125,1450.8629150390625,14.630675315856934,2136.9052734375
38,14.258750915527344,1155.8553466796875,14.399642944335938,1789.64306640625
39,14.457240104675293,1346.014892578125,14.59903335571289,2085.67919921875
40,14.533721923828125,1427.4005126953125,14.621837615966797,2122.446044921875
41,14.526268005371094,1419.3336181640625,14.610708236694336,2104.40283203125
42,14.445263862609863,1333.747314453125,14.581193923950195,2057.272216796875
43,14.4866304397583,1376.7659912109375,14.612293243408203,2106.94482421875
44,14.256422996520996,1153.78369140625,14.40300178527832,1794.275390625
45,14.489222526550293,1379.5194091796875,14.612617492675781,2107.53466796875
46,14.506453514099121,1397.846435546875,14.616240501403809,2113.32666015625
47,14.476863861083984,1366.5089111328125,14.608986854553223,2101.580810546875
48,14.500739097595215,1391.799560546875,14.601051330566406,2088.9208984375
49,14.461921691894531,1350.893310546875,14.581314086914062,2057.47412109375
50,14.42538833618164,1313.5279541015625,14.573577880859375,2045.3017578125
51,14.421161651611328,1309.318603515625,14.582630157470703,2059.568115234375
52,14.19351577758789,1099.39306640625,14.352932929992676,1726.6363525390625
53,14.497413635253906,1388.21630859375,14.592920303344727,2075.816162109375
54,14.330690383911133,1221.4688720703125,14.456706047058105,1869.81640625
55,14.148571014404297,1062.1075439453125,14.315637588500977,1677.88134765625
56,14.224105834960938,1125.533203125,14.34607219696045,1717.5908203125
57,14.450359344482422,1338.945068359375,14.591063499450684,2072.919677734375
58,14.456003189086914,1344.7933349609375,14.570223808288574,2040.0579833984375
59,14.256149291992188,1153.5533447265625,14.429770469665527,1831.5438232421875
60,14.395092964172363,1283.3548583984375,14.538256645202637,1990.5576171875
61,14.438557624816895,1326.8824462890625,14.52061939239502,1963.79541015625
62,14.413894653320312,1302.044921875,14.55426025390625,2015.1942138671875
63,14.154207229614258,1066.715087890625,14.295053482055664,1651.635498046875
64,14.423842430114746,1311.9498291015625,14.53754997253418,1989.4569091796875
65,14.067898750305176,998.3448486328125,14.186601638793945,1519.683349609375
66,14.377473831176758,1266.156982421875,14.510690689086914,1948.91845703125
67,14.328295707702637,1219.18359375,14.41934585571289,1816.98291015625
68,14.447072982788086,1335.6231689453125,14.530789375305176,1979.1744384765625
69,14.375055313110352,1263.7620849609375,14.537057876586914,1988.7255859375
70,14.270139694213867,1165.9912109375,14.384363174438477,1768.8499755859375
71,14.362287521362305,1251.46923828125,14.501127243041992,1934.6171875
72,14.399566650390625,1287.7803955078125,14.493532180786133,1923.371337890625
73,14.25579833984375,1153.2120361328125,14.406044960021973,1798.4835205078125
74,14.384655952453613,1273.1199951171875,14.495923042297363,1926.8922119140625
75,14.289802551269531,1183.742431640625,14.490230560302734,1918.5264892578125
76,14.324333190917969,1215.4906005859375,14.47936725616455,1902.6134033203125
77,14.307107925415039,1199.556396484375,14.487869262695312,1915.0509033203125
78,14.42413330078125,1312.24853515625,14.497093200683594,1928.7056884765625
79,14.35322093963623,1242.793212890625,14.475836753845215,1897.4539794921875
80,14.085824966430664,1012.1842041015625,14.199739456176758,1535.15478515625
82,14.296680450439453,1190.0015869140625,14.458688735961914,1872.685791015625
83,14.23595905303955,1135.8062744140625,14.463178634643555,1879.07421875
84,14.31414794921875,1206.03466796875,14.461711883544922,1877.0133056640625
85,14.190460205078125,1096.816162109375,14.286952018737793,1641.38134765625
86,14.321276664733887,1212.67724609375,14.449816703796387,1859.9658203125
87,14.022405624389648,964.0822143554688,14.172140121459961,1502.9117431640625
88,14.309816360473633,1202.0623779296875,14.438337326049805,1843.6041259765625
89,14.018279075622559,961.0654907226562,14.137107849121094,1463.1014404296875
90,14.333792686462402,1224.34228515625,14.458806037902832,1872.8134765625
91,14.301763534545898,1194.663330078125,14.438714981079102,1844.1600341796875
92,14.294139862060547,1187.652587890625,14.430974006652832,1833.2296142578125
93,14.330020904541016,1220.8118896484375,14.42816162109375,1829.322998046875
94,14.299273490905762,1192.34765625,14.428741455078125,1830.0836181640625
95,14.355049133300781,1244.4862060546875,14.428845405578613,1830.2733154296875
96,14.281137466430664,1175.8800048828125,14.416620254516602,1813.1036376953125
97,14.109752655029297,1030.9403076171875,14.248703956604004,1593.87646484375
98,14.295210838317871,1188.6734619140625,14.389452934265137,1775.7454833984375
99,14.321772575378418,1213.119140625,14.407583236694336,1800.6290283203125
100,14.252897262573242,1150.6510009765625,14.388752937316895,1774.754638671875
102,14.2118501663208,1114.951904296875,14.386295318603516,1771.409423828125
103,14.271507263183594,1167.201904296875,14.396221160888672,1784.9534912109375
104,14.248613357543945,1146.922119140625,14.38232135772705,1766.0228271484375
105,14.269883155822754,1165.7940673828125,14.399316787719727,1789.2064208984375
106,14.172609329223633,1081.9176025390625,14.27409553527832,1625.255615234375
107,14.114507675170898,1034.6953125,14.214160919189453,1552.1890869140625
108,14.319787979125977,1211.2601318359375,14.390836715698242,1777.6199951171875
109,14.285276412963867,1179.6575927734375,14.385848999023438,1770.7926025390625
110,14.264429092407227,1160.93603515625,14.37640380859375,1758.0701904296875
112,14.239764213562012,1139.1575927734375,14.381102561950684,1764.3583984375
113,14.283424377441406,1177.9432373046875,14.391436576843262,1778.39306640625
114,14.27540397644043,1170.7591552734375,14.376504898071289,1758.1708984375
115,14.147567749023438,1061.3128662109375,14.317892074584961,1680.8297119140625
116,14.139998435974121,1055.1495361328125,14.3140869140625,1675.93310546875
117,14.21297836303711,1115.926025390625,14.363381385803223,1740.5384521484375
118,14.170059204101562,1079.771484375,14.276348114013672,1628.091796875
119,14.100605964660645,1023.7347412109375,14.36911392211914,1748.248046875
120,14.240135192871094,1139.4444580078125,14.380075454711914,1762.9805908203125
121,14.267223358154297,1163.3966064453125,14.37440299987793,1755.3590087890625
122,14.234067916870117,1134.162109375,14.339664459228516,1709.17138671875
123,14.222991943359375,1124.557861328125,14.35782241821289,1733.1029052734375
124,14.245054244995117,1143.752197265625,14.363798141479492,1741.093017578125
125,14.203035354614258,1107.4381103515625,14.356261253356934,1731.053955078125
126,14.281447410583496,1176.1640625,14.350616455078125,1723.5911865234375
127,14.219600677490234,1121.6646728515625,14.353315353393555,1727.190185546875
128,14.173358917236328,1082.5242919921875,14.358312606811523,1733.828369140625
129,14.102808952331543,1025.4744873046875,14.221789360046387,1561.318359375
130,14.13579273223877,1051.7205810546875,14.242033004760742,1585.7874755859375
131,14.295275688171387,1188.6881103515625,14.363091468811035,1740.189208984375
132,14.217382431030273,1119.686279296875,14.340522766113281,1710.277587890625
133,14.06309700012207,994.6744995117188,14.21203899383545,1549.6756591796875
135,14.199377059936523,1104.35986328125,14.308745384216309,1669.044677734375
136,14.199426651000977,1104.412841796875,14.338689804077148,1707.852294921875
137,14.22020435333252,1122.1512451171875,14.348594665527344,1720.938720703125
139,14.233009338378906,1133.2021484375,14.320703506469727,1684.48974609375
140,14.195449829101562,1101.0203857421875,14.347295761108398,1719.1639404296875
141,14.234230041503906,1134.30078125,14.325260162353516,1690.397216796875
142,14.18750286102295,1094.3526611328125,14.324752807617188,1689.6666259765625
144,14.019285202026367,961.78125,14.22873306274414,1569.6282958984375
145,14.209726333618164,1113.1812744140625,14.340780258178711,1710.638427734375
146,14.124946594238281,1043.0174560546875,14.266921043395996,1616.3822021484375
147,14.20452880859375,1108.7249755859375,14.300834655761719,1658.9674072265625
148,14.195427894592285,1101.0537109375,14.310981750488281,1671.9111328125
149,14.204055786132812,1108.3233642578125,14.327276229858398,1692.9730224609375
150,14.063122749328613,994.7182006835938,14.198572158813477,1533.7562255859375
151,14.204708099365234,1108.8487548828125,14.318971633911133,1682.2242431640625
152,14.205174446105957,1109.2860107421875,14.308348655700684,1668.5506591796875
153,14.18027400970459,1088.2548828125,14.30423355102539,1663.29833984375
155,14.198841094970703,1103.8751220703125,14.30350112915039,1662.3790283203125
156,14.214634895324707,1117.3505859375,14.296733856201172,1653.7462158203125
157,14.112945556640625,1033.4561767578125,14.238100051879883,1580.96826171875
158,14.231385231018066,1131.8314208984375,14.322952270507812,1687.3580322265625
159,14.182665824890137,1090.281494140625,14.301466941833496,1659.7574462890625
160,14.217687606811523,1120.0008544921875,14.295806884765625,1652.5418701171875
161,14.130603790283203,1047.5927734375,14.281085968017578,1634.0340576171875
163,14.159192085266113,1070.8125,14.294562339782715,1651.0194091796875
165,14.032011032104492,971.244140625,14.272303581237793,1623.0037841796875
166,14.18632698059082,1093.3302001953125,14.293127059936523,1649.189453125
167,14.009260177612305,954.408203125,14.137367248535156,1463.3184814453125
168,14.169628143310547,1079.4466552734375,14.295402526855469,1652.0797119140625
169,14.154102325439453,1066.625,14.272415161132812,1623.175537109375
171,14.155744552612305,1067.983642578125,14.252614974975586,1598.6715087890625
173,14.0009126663208,948.31298828125,14.118518829345703,1442.367919921875
174,14.172210693359375,1081.5791015625,14.282459259033203,1635.7274169921875
175,14.131871223449707,1048.606201171875,14.199376106262207,1534.6474609375
176,14.122058868408203,1040.741943359375,14.267131805419922,1616.6336669921875
178,14.198809623718262,1103.848388671875,14.28873062133789,1643.6351318359375
179,14.184394836425781,1091.7666015625,14.279090881347656,1631.487060546875
180,14.11528205871582,1035.3489990234375,14.251529693603516,1597.3388671875
182,14.146177291870117,1060.146484375,14.268169403076172,1617.8587646484375
183,14.159832954406738,1071.3525390625,14.258525848388672,1605.9879150390625
184,14.18722152709961,1094.06640625,14.28134822845459,1634.372314453125
186,14.141429901123047,1056.3216552734375,14.261772155761719,1609.941650390625
187,14.1763916015625,1085.0653076171875,14.27273941040039,1623.612060546875
188,14.176736831665039,1085.3406982421875,14.262297630310059,1610.62841796875
189,14.114784240722656,1034.907958984375,14.260177612304688,1608.001708984375
190,14.041722297668457,978.46044921875,14.189922332763672,1523.6171875
191,14.145259857177734,1059.3941650390625,14.25151252746582,1597.3115234375
192,14.02806568145752,968.3180541992188,14.175182342529297,1506.416015625
194,14.100324630737305,1023.5015258789062,14.214932441711426,1553.108154296875
195,14.099691390991211,1023.0343017578125,14.246124267578125,1590.7305908203125
196,14.162335395812988,1073.41748046875,14.235502243041992,1577.861328125
197,14.169742584228516,1079.523193359375,14.244758605957031,1589.05615234375
198,14.060287475585938,992.55078125,14.233736991882324,1575.680908203125
199,14.120203018188477,1039.2589111328125,14.235042572021484,1577.237060546875
201,14.166879653930664,1077.15283203125,14.246334075927734,1591.044677734375
202,14.073446273803711,1002.6312866210938,14.23766803741455,1580.463623046875
203,14.145456314086914,1059.5755615234375,14.235868453979492,1578.282470703125
204,14.078527450561523,1006.55810546875,14.23448371887207,1576.600830078125
206,14.089471817016602,1015.0146484375,14.218353271484375,1557.160400390625
207,14.136205673217773,1052.0870361328125,14.236749649047852,1579.3668212890625
208,14.099654197692871,1022.9603271484375,14.23397445678711,1576.0003662109375
210,14.109807968139648,1031.018798828125,14.231681823730469,1573.21337890625
211,14.034614562988281,973.1983642578125,14.170788764953613,1501.347412109375
213,14.06859302520752,998.8603515625,14.203248977661133,1539.2236328125
214,14.07986831665039,1007.590087890625,14.215814590454102,1554.2001953125
216,14.117392539978027,1036.99853515625,14.229804039001465,1570.9854736328125
217,14.15195369720459,1064.85693359375,14.247732162475586,1592.7393798828125
218,14.115010261535645,1035.13427734375,14.227108001708984,1567.719482421875
219,14.117229461669922,1036.88623046875,14.217851638793945,1556.59765625
221,14.080741882324219,1008.2265625,14.217409133911133,1556.068115234375
222,14.072235107421875,1001.66748046875,14.205595016479492,1542.051025390625
224,14.028647422790527,968.7362670898438,14.178871154785156,1510.7001953125
226,14.036611557006836,974.64990234375,14.215749740600586,1554.1192626953125
227,14.038436889648438,976.0589599609375,14.198314666748047,1533.427978515625
228,14.078130722045898,1006.2407836914062,14.211865425109863,1549.4698486328125
229,14.036942481994629,974.9378051757812,14.182931900024414,1515.4647216796875
230,14.043935775756836,980.1867065429688,14.195141792297363,1529.697265625
232,14.093954086303711,1018.4840698242188,14.204536437988281,1540.7906494140625
233,14.086037635803223,1012.3198852539062,14.203935623168945,1540.0694580078125
235,14.117766380310059,1037.2989501953125,14.206985473632812,1543.6846923828125
236,14.122997283935547,1041.512939453125,14.208343505859375,1545.2989501953125
237,14.129173278808594,1046.39990234375,14.201662063598633,1537.351806640625
238,14.049093246459961,984.0558471679688,14.19337272644043,1527.613037109375
239,14.095083236694336,1019.4067993164062,14.189238548278809,1522.78955078125
244,14.065844535827637,996.7672119140625,14.159025192260742,1487.8504638671875
245,14.092371940612793,1017.2853393554688,14.181890487670898,1514.2384033203125
247,14.031551361083984,970.8836669921875,14.186447143554688,1519.5321044921875
249,14.053478240966797,987.3291015625,14.166211128234863,1496.0892333984375
250,14.003793716430664,950.4464111328125,14.1329345703125,1458.3675537109375
251,14.091415405273438,1016.553955078125,14.178288459777832,1510.0164794921875
252,14.055746078491211,989.1079711914062,14.18673324584961,1519.864013671875
253,14.059552192687988,991.9426879882812,14.170961380004883,1501.6060791015625
254,14.053418159484863,987.2974243164062,14.162262916564941,1491.578857421875
255,14.081520080566406,1008.8623046875,14.183295249938965,1515.8514404296875
257,14.075441360473633,1004.1538696289062,14.174823760986328,1506.0325927734375
263,14.007560729980469,953.1615600585938,14.102622032165527,1424.824462890625
265,14.050905227661133,985.3815307617188,14.169130325317383,1499.4974365234375
266,14.075965881347656,1004.5586547851562,14.165949821472168,1495.7991943359375
267,14.040700912475586,977.7208862304688,14.158946990966797,1487.7666015625
271,14.01429557800293,958.112548828125,14.121866226196289,1446.0628662109375
273,14.022809982299805,964.37158203125,14.144092559814453,1470.90234375
274,14.025959014892578,966.711669921875,14.14969253540039,1477.2935791015625
276,14.04872989654541,983.747802734375,14.155410766601562,1483.7900390625
281,14.00827407836914,953.669189453125,14.13630199432373,1462.134033203125
282,14.051020622253418,985.4982299804688,14.151605606079102,1479.4112548828125
283,14.02359676361084,964.954833984375,14.14645004272461,1473.6119384765625
287,14.01850700378418,961.223876953125,14.139039039611816,1465.2021484375
296,14.015875816345215,959.290283203125,14.122811317443848,1447.119384765625
298,14.04553508758545,981.3451538085938,14.13599967956543,1461.802001953125
299,14.027122497558594,967.5780029296875,14.12932014465332,1454.34619140625
300,14.044071197509766,980.2554321289062,14.13539981842041,1461.1109619140625
302,14.01174259185791,956.2171630859375,14.120931625366211,1444.993896484375
304,14.049407005310059,984.2660522460938,14.116926193237305,1440.5482177734375
305,14.025171279907227,966.17138671875,14.114876747131348,1438.3338623046875
307,14.00818920135498,953.6591186523438,14.122636795043945,1446.917724609375
313,14.052165985107422,986.3392333984375,14.12080192565918,1444.842041015625
320,14.015995025634766,959.37646484375,14.09780502319336,1419.60107421875
323,14.016794204711914,959.9749755859375,14.097318649291992,1419.058837890625
327,14.001198768615723,948.5330200195312,14.096570014953613,1418.258056640625
